name,slug,description,assets,facets,sku,optionGroups,optionValues,taxCategory,trackInventory,price,stockOnHand,variantAssets,variantFacets
,,,,,MAHB3,branch,maharagama,Zero,,530,30,,
,,,,,KOLB3,branch,kollupitiya,Zero,,530,30,,
,,,,,BAMB3,branch,bambalapitiya,Zero,,530,30,,
,,,,,OGFB3,branch,one-galle-face,Zero,,530,30,,
Milk Choc Marshmallows Crepe,milk-choc-marshmallows-crepe,,marshmallo Milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB4,branch,mount-lavinia,Zero,,510,30,,
,,,,,MAHB4,branch,maharagama,Zero,,510,30,,
,,,,,KOLB4,branch,kollupitiya,Zero,,510,30,,
,,,,,BAMB4,branch,bambalapitiya,Zero,,510,30,,
,,,,,OGFB4,branch,one-galle-face,Zero,,510,30,,
Milk Choc Peanut Butter Crepe,milk-choc-peanut-butter-crepe,,Peanut Butter Milk Choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB5,branch,mount-lavinia,Zero,,620,30,,
,,,,,MAHB5,branch,maharagama,Zero,,620,30,,
,,,,,KOLB5,branch,kollupitiya,Zero,,620,30,,
,,,,,BAMB5,branch,bambalapitiya,Zero,,620,30,,
,,,,,OGFB5,branch,one-galle-face,Zero,,620,30,,
Milk Choc Coconut Crepe,milk-choc-coconut-crepe,,coconut milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB6,branch,mount-lavinia,Zero,,500,30,,
,,,,,MAHB6,branch,maharagama,Zero,,500,30,,
,,,,,KOLB6,branch,kollupitiya,Zero,,500,30,,
,,,,,BAMB6,branch,bambalapitiya,Zero,,500,30,,
,,,,,OGFB6,branch,one-galle-face,Zero,,500,30,,
Milk Choc Cadbury Choc Force Crepe,milk-choc-cadbury-choc-force-crepe,,The choc force Cadburry milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB7,branch,mount-lavinia,Zero,,700,30,,
,,,,,MAHB7,branch,maharagama,Zero,,700,30,,
,,,,,KOLB7,branch,kollupitiya,Zero,,700,30,,
,,,,,BAMB7,branch,bambalapitiya,Zero,,700,30,,
,,,,,OGFB7,branch,one-galle-face,Zero,,700,30,,
Milk Choc Snickers Choc Force Crepe,milk-choc-snickers-choc-force-crepe,Snickers + Peanut Butter,Choc force snickers milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB8,branch,mount-lavinia,Zero,,810,30,,
,,,,,MAHB8,branch,maharagama,Zero,,810,30,,
,,,,,KOLB8,branch,kollupitiya,Zero,,810,30,,
,,,,,BAMB8,branch,bambalapitiya,Zero,,810,30,,
,,,,,OGFB8,branch,one-galle-face,Zero,,810,30,,
Milk Choc Strawberry Maniac Crepe,milk-choc-strawberry-maniac-crepe,Strawberry + Strawberry Cornflakes,Strawberry maniac milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB9,branch,mount-lavinia,Zero,,700,30,,
,,,,,MAHB9,branch,maharagama,Zero,,700,30,,
,,,,,KOLB9,branch,kollupitiya,Zero,,700,30,,
,,,,,BAMB9,branch,bambalapitiya,Zero,,700,30,,
,,,,,OGFB9,branch,one-galle-face,Zero,,700,30,,
Milk Choc Crunch Crepe,milk-choc-crunch-crepe,Almonds + Cashews + Walnuts,The crunch milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB10,branch,mount-lavinia,Zero,,660,30,,
,,,,,MAHB10,branch,maharagama,Zero,,660,30,,
,,,,,KOLB10,branch,kollupitiya,Zero,,660,30,,
,,,,,BAMB10,branch,bambalapitiya,Zero,,660,30,,
,,,,,OGFB10,branch,one-galle-face,Zero,,660,30,,
Milk Choc Brownie Crepe,milk-choc-brownie-crepe,,Brownie milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB11,branch,mount-lavinia,Zero,,810,30,,
,,,,,MAHB11,branch,maharagama,Zero,,810,30,,
,,,,,KOLB11,branch,kollupitiya,Zero,,810,30,,
,,,,,BAMB11,branch,bambalapitiya,Zero,,810,30,,
,,,,,OGFB11,branch,one-galle-face,Zero,,810,30,,
Milk Choc Oreo Crepe,milk-choc-oreo-crepe,,Oreo milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB12,branch,mount-lavinia,Zero,,640,30,,
,,,,,MAHB12,branch,maharagama,Zero,,640,30,,
,,,,,KOLB12,branch,kollupitiya,Zero,,640,30,,
,,,,,BAMB12,branch,bambalapitiya,Zero,,640,30,,
,,,,,OGFB12,branch,one-galle-face,Zero,,640,30,,
Milk Choc Kitkat Crepe,milk-choc-kitkat-crepe,,Kitkat milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB13,branch,mount-lavinia,Zero,,680,30,,
,,,,,MAHB13,branch,maharagama,Zero,,680,30,,
,,,,,KOLB13,branch,kollupitiya,Zero,,680,30,,
,,,,,BAMB13,branch,bambalapitiya,Zero,,680,30,,
,,,,,OGFB13,branch,one-galle-face,Zero,,680,30,,
Milk Choc Kinder Bueno Crepe,milk-choc-kinder-bueno-crepe,,Kinder milk choc.jpg,main:sweet-classic-crepes|sweet-classic-crepes:classic-milk-choc-crepes,MOUB14,branch,mount-lavinia,Zero,,900,30,,
,,,,,MAHB14,branch,maharagama,Zero,,900,30,,
,,,,,KOLB14,branch,kollupitiya,Zero,,900,30,,
,,,,,BAMB14,branch,bambalapitiya,Zero,,900,30,,
,,,,,OGFB14,branch,one-galle-face,Zero,,900,30,,
