Statistical profiling result from isolate-0x120008000-37491-v8.log, (27570 ticks, 334 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      7    0.0%    0.0%  LazyCompile: *determinePacket /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/protocol/sequences/Query.js:33:59
      7    0.0%    0.0%  LazyCompile: *afterWriteTick internal/streams/writable.js:451:24
      7    0.0%    0.0%  LazyCompile: *__generator /Users/vikumwijekoon/git/vendure/node_modules/tslib/tslib.js:121:28
      7    0.0%    0.0%  LazyCompile: *EntityManager /Users/vikumwijekoon/git/vendure/node_modules/typeorm/entity-manager/EntityManager.js:33:27
      7    0.0%    0.0%  LazyCompile: *Connection.getMetadata /Users/vikumwijekoon/git/vendure/node_modules/typeorm/connection/Connection.js:369:49
      7    0.0%    0.0%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/subscriber/Broadcaster.js:27:60
      6    0.0%    0.0%  LazyCompile: *readPackage internal/modules/cjs/loader.js:258:21
      6    0.0%    0.0%  LazyCompile: *processTicksAndRejections internal/process/task_queues.js:67:35
      6    0.0%    0.0%  LazyCompile: *getValue /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/JoinAttribute.js:127:41
      6    0.0%    0.0%  LazyCompile: *get /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/JoinAttribute.js:26:23
      6    0.0%    0.0%  LazyCompile: *get /Users/vikumwijekoon/git/vendure/node_modules/graphql/type/definition.js:395:20
      6    0.0%    0.0%  LazyCompile: *extractEmbeddedColumnValue_4 /Users/vikumwijekoon/git/vendure/node_modules/typeorm/metadata/ColumnMetadata.js:442:57
      6    0.0%    0.0%  LazyCompile: *applyChannelPriceAndTax /Users/vikumwijekoon/git/vendure/packages/core/dist/service/helpers/product-price-applicator/product-price-applicator.js:60:34
      6    0.0%    0.0%  LazyCompile: *append /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/protocol/Parser.js:47:42
      6    0.0%    0.0%  LazyCompile: *acquireConnection /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/Pool.js:81:62
      6    0.0%    0.0%  LazyCompile: *SelectQueryBuilder.createLimitOffsetExpression /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/SelectQueryBuilder.js:1178:73
      6    0.0%    0.0%  LazyCompile: *QueryBuilder.escape /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/QueryBuilder.js:347:46
      6    0.0%    0.0%  LazyCompile: *QueryBuilder.createWhereConditionExpression /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/QueryBuilder.js:698:70
      6    0.0%    0.0%  LazyCompile: *Protocol._enqueue /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/protocol/Protocol.js:137:39
      6    0.0%    0.0%  LazyCompile: *Connection.format /Users/vikumwijekoon/git/vendure/node_modules/mysql/lib/Connection.js:267:39
      6    0.0%    0.0%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/SelectQueryBuilder.js:670:60
      6    0.0%    0.0%  LazyCompile: *<anonymous> /Users/vikumwijekoon/git/vendure/node_modules/typeorm/query-builder/QueryBuilder.js:546:57
